Question,Agent Bucket,Tool Bucket,Advisory Bucket,Response Quality,,Second Pass,CoPilot Screen,Gitanjali,Oscar
Why didn't the DDoS protection activate during the attack?,Agent:DDoSIncident,Tool:AttackDetection,,,,Phase2,yes,,
Whether the customer requires DDoS protection beyond the infrastructure-level service provided at no additional cost.,Agent:DDoSAdvisory,,BasicVsStandard,Good,,Advisory,no,,
Why did the customer receive DDoS alerts for a public IP that is used for outbound (egress) traffic?,Agent:DDoSIncident,Tool:AttackDetection,,,,Phase2,yes,,
How can the impact of the DDoS attack on outbound/egress traffic handled by the public IP be understood?,Agent:DDoSAdvisory,,Functionality,NeedsAdditionalContext,,Advisory,yes,,
How can future DDoS attacks be prevented while the protection plan is mitigating the current attack?,Agent:DDoSAdvisory,,Functionality,Good,,Advisory,yes,,
Can the source IPs of the DDoS attack be identified?,Agent:DDoSIncident,Tool:AttackProfiling,,,,Phase2,yes,,
"Since the IP is used for egress, why was there ingress traffic detected?",Agent:DDoSIncident,Tool:AttackDetection,,,,Advisory,yes,,
"Why is continuous DDoS alerting occurring from a specific IP, and how can the owner of that IP be approached to understand why it is sending requests to the customer's public IP?",Agent:DDoSIncident,,,,,Phase2,yes,,
Is the DDoS alert a false positive given that no connectivity loss is observed?,Agent:DDoSIncident,,,,,,yes,,
Are there any components or monitoring workloads within the customer’s environment that might be connecting to the Event Hub related to the suspicious IP traffic?,NotApplicable,,,,,,yes,,
What actionable steps can be taken to analyze and mitigate the traffic from the top talker IPs identified during the attack?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,yes,,
Why do the DDoS alerts not show data under expected attack types such as SYN or other specific attack vectors?,Agent:DDoSIncident,,,,,,yes,,
How to interpret the traffic patterns and thresholds that are triggering the DDoS mitigation for the WAN router policy?,Agent:DDoSIncident,,,,,,yes,,
What is the relationship between the internal subscription and the Azure Event Hub traffic observed during the alerts?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,yes,,
Whether the customer observed any connectivity loss or service downtime during the attack period.,Agent:DDoSScoping,,,,,Scoping,no,,
Whether the customer noticed any discrepancies at the time of the DDoS attack.,Agent:DDoSScoping,,,,,Scoping,no,,
What threshold the customer would like to set for alerting or mitigation purposes.,Agent:DDoSIncident,Tool:DetectionTuning,,,,,no,,
"Whether the customer has diagnostic settings enabled on their DDoS Protection Plan workspace, and if so, requesting a screenshot for verification.",Agent:DDoSIncident,Tool:ResourceState,,,,,no,,
"What is the total volume of the attack, and where can the customer view this information?",Agent:DDoSIncident,Tool:AttackProfiling,,,,,yes,,
Is there evidence of nefarious activity such as amplification or tunneling related to the fragmented traffic observed?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,yes,,
Can correlation be made between certain IP address ranges and traffic patterns in the network flow data?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,yes,,
What behavior was observed in previous TCP-based DDoS attacks that might inform the current situation?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,yes,,
Are there any commonalities among the IP addresses involved in the attack samples analyzed?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,yes,,
"Why are source and destination ports showing as zero in some attack instances, and is port 53 involved consistently?",Agent:DDoSIncident,Tool:AttackProfiling,,,,,yes,,
Can the customer confirm if infrastructure protection tools detected or mitigated the UDP attack noted earlier?,Agent:DDoSIncident,Tool:AttackDetection,,,,,yes,,
Would placing the affected IP address under constant mitigation be advisable to handle potential recurring attacks?,Agent:DDoSIncident,,,,,,yes,,
Clarifications regarding the functionality and status of the DDoS protection service.,,Tool:ResourceState,ResourceCoverage,NeedsAdditionalContext,,,no,,
"Questions about the DDoS protection status of specific public IP addresses, especially when the protection mode and plan ID appear as not applicable.",Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,NeedsAdditionalContext,,ResourceAwareness,no,,
Inquiries on how to enable DDoS protection for public IP addresses within the virtual network.,Agent:DDoSAdvisory,,ProvisioningConfiguration,Good,,Advisory,no,,
Discussions about the backend configuration related to DDoS protection plans and their association with public IPs.,Agent:DDoSAdvisory,Tool:ResourceState,ProvisioningConfiguration,NeedsAdditionalContext,,Advisory,no,,
Can DDoS protection be disabled at any time in the future after being enabled?,Agent:DDoSAdvisory,,ProvisioningConfiguration,Good,,Advisory,yes,,
How can DDoS protection be enabled to safeguard the workload from distributed denial-of-service attacks?,Agent:DDoSAdvisory,,Functionality,Good,,Advisory,yes,,
"Whether the current DDoS protection threshold of 100,000 requests per second for the public IP is correct.",Agent:DDoSAdvisory,,Thresholds,Partial,,Advisory,no,,
If the threshold can be modified or adjusted.,Agent:DDoSAdvisory,,Thresholds,Partial,,Advisory,no,,
What specific new limits the customer requires for the DDoS protection threshold.,Agent:DDoSIncident,Tool:DetectionTuning,Thresholds,NeedsAdditionalContext,,,no,,
Are the public IP resources in the identified production and development subscriptions currently experiencing a DDoS attack?,Agent:DDoSIncident,Tool:AttackDetection,,,,,yes,,
How to check the configuration status of DDoS Protection Plans?,Agent:DDoSAdvisory,Tool:ResourceState,ProvisioningConfiguration,Good,,ResourceAwareness,yes,,
Is the traffic triggering the DDoS protection plan actually legitimate or not?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,no,,
Can the customer identify the sources of the traffic to determine their legitimacy?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,yes,,
Are the IP addresses involved in the traffic legitimate?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,no,,
"What are the threshold values for the DDoS protection, and do they need adjustment based on the traffic patterns?",Agent:DDoSAdvisory,Tool:DetectionTuning,Thresholds,Good,,Advisory,yes,,
"Are the peaks in traffic occurring at specific times, such as the start of the day, and do they follow a consistent pattern?",Agent:DDoSIncident,Tool:AttackProfiling,,,,,yes,,
"After increasing the threshold values, is the DDoS protection still being triggered by legitimate traffic or not?",Agent:DDoSIncident,Tool:AttackDetection,,,,,yes,,
Is there anything else you would recommend from DDoS protection or related services if attackers start spoofing a real user agent or stop sending one altogether?,Agent:DDoSAdvisory,,AppGWandWAF,Good,,Advisory,no,Good,Good
"Would implementing a stricter rate limiter, such as fewer requests allowed per 5 minutes at the web application firewall, be advisable in this situation?",Agent:DDoSAdvisory,,AppGWandWAF,NeedsAdditionalContext,,Advisory,yes,Good,NeedsAdditionalContext
"Can you provide more information to clarify the issue, specifically regarding the resource being targeted and the origin of the 24 IP addresses—are they visible from the portal or logs?",Agent:DDoSIncident,Tool:AttackProfiling,,,,,no,,
"For the given number of subscriptions and resources, if the specified protection service is enabled, is the approximate monthly charge as expected based on the pricing details provided?",Agent:DDoSAdvisory,,Billing,Good,,Advisory,yes,,
Why did the auto scaling not activate as expected when the capacity usage was around 30%?,Agent:DDoSIncident,,,,,,yes,,Other resource questions
"Can you provide the plan of the DDoS attack simulation, including topology or network diagrams, to help us understand the setup?",,,AttackSimulation,NeedsAdditionalContext,,,yes,,
Why was there no inbound traffic observed on the mitigation system during the DDoS test?,Agent:DDoSIncident,Tool:AttackDetection,,,,,yes,,
"Is the current setup with the origin configuration between components expected, or should it be streamlined?",NotApplicable,,,,,,no,,
Are the controllers scaling properly during DDoS attacks?,Agent:DDoSIncident,,,,,,no,,Other resource questions
Why did the DDoS protection not trigger during the Layer 4 attack despite increased traffic?,Agent:DDoSIncident,Tool:AttackDetection,,,,,yes,,
Can the DDoS protection discriminate between probe traffic and malicious traffic during mitigation?,Agent:DDoSAdvisory,,Functionality,Good,,Advisory,yes,,
Could rate limiting or fencing be implemented effectively on the front door or web application firewall to improve mitigation?,Agent:DDoSAdvisory,,AppGWandWAF,Good,,,yes,Good,Good
What adjustments are needed for the auto scale rules to better handle sudden increases in demand?,Agent:DDoSAdvisory,,AppGWandWAF,Good,Other resource questions,,yes,Good,Good
Would manually setting threshold values back to baseline improve detection and mitigation performance?,Agent:DDoSAdvisory,,Thresholds,Partial,,,no,,
How does the application gateway’s auto-tuning and scaling affect DDoS protection thresholds?,Agent:DDoSAdvisory,,AppGWandWAF,Good,Other resource questions,,yes,Good,Good
Can you share historical data on request rates to help determine appropriate rate limiting thresholds?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,yes,,
Why is the rate limiting currently configured in a way that allows all traffic despite having rules in place?,Agent:DDoSAdvisory,,AppGWandWAF,NeedsAdditionalContext,,,yes,Good,NeedsAdditionalContext
What capacity and scaling recommendations can be provided to ensure the system can handle expected DDoS traffic volumes?,Agent:DDoSAdvisory,,AppGWandWAF,Good,Other resource questions,Advisory,yes,Good,Good
Is the unexpected traffic flow observed in the logs indicative of a misconfiguration or an issue that needs addressing?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,yes,,
What is the source of these DDoS attacks on the public IP?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,no,,
Are these attacks legitimate traffic or harmful?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,no,,
Why are these non-organization IPs sending such a high volume of packets?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,no,,
Have there been any connectivity issues during the timestamps when the alerts were generated?,Agent:DDoSScoping,,,,Resource Outage,Scoping,yes,,
Is the DDoS protection applied to the virtual network effective and applicable for protecting the resources within the VNet?,Agent:DDoSAdvisory,Tool:ResourceState,ProvisioningConfiguration,Good,,Advisory,yes,,
Can the customer provide additional details or logs to assist with further investigation of the DDoS traffic and mitigation status?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,no,,
Is the traffic spike observed on the public IP a Layer 7 (application layer) attack that might not be mitigated by the current DDoS Protection service?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,yes,,
Are the current DDoS Protection and Web Application Firewall configurations optimized to detect and block malicious HTTP/S traffic effectively?,Agent:DDoSAdvisory,,AppGWandWAF,NeedsAdditionalContext,Other resource questions,,yes,NeedsAdditionalContext,NeedsPromptImprovement
"Could the rate-limiting parameters be adjusted (e.g., increasing the blocking window or lowering the request threshold) to better mitigate sustained attacks?",Agent:DDoSAdvisory,,AppGWandWAF,NeedsPromptImprovement,Other resource questions,Advisory,yes,Good,Good
"Does the customer understand that DDoS Protection as a service does not directly protect resources inside the VNet unless exposed via a public IP, and that additional Layer 7 protections are needed?",Agent:DDoSAdvisory,,ResourceCoverage,Good,,Advisory,yes,,
"Has the DDoS protection plan been properly associated with all relevant resources, or only with some public IPs?",Agent:DDoSAdvisory,Tool:ResourceState,ProvisioningConfiguration,Good,,ResourceAwareness,yes,,
On which specific IP addresses has the DDoS mitigation been applied—App gateway IP or load balancer frontend IP?,Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,Good,,Advisory,yes,,
Why are the protected resources not visible in the DDoS protection portal?,Agent:DDoSAdvisory,,PortalUsability,Good,,Advisory,yes,,
Why are the DDoS metrics not showing up or available for analysis?,Agent:DDoSAdvisory,Tool:AttackProfiling,Metrics,Good,,Advisory,yes,,
Is the DDoS protection plan covering the entire infrastructure or only select parts?,Agent:DDoSAdvisory,,ResourceCoverage,Good,,Advisory,yes,,
Can the customer confirm which IPs are included in the scope of the DDoS protection plan?,Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,Good,,Advisory,yes,,
Can the limit of the DDoS metric for the specified IPs be increased to 2 million packets per second?,Agent:DDoSAdvisory,Tool:DetectionTuning,Thresholds,Partial,,Advisory,yes,,
